,original_title,year_of_release,genres,summary,actors,Movie_COL
1011,Via Darjeeling,2008,Drama Mystery Thriller,A couple on their honeymoon is about to return to the city. On the last day  one of them disappears. The mystery returns to Calcutta one night...via Darjeeling. Faces are unmasked. New discoveries made.,Kay Kay Menon,Via Darjeeling Drama Mystery Thriller A couple on their honeymoon is about to return to the city. On the last day  one of them disappears. The mystery returns to Calcutta one night...via Darjeeling. Faces are unmasked. New discoveries made. Kay Kay Menon
1012,Kismat Konnection,2008,Comedy Drama Romance,A luckless architect discovers a social activist to be his lucky charm. Unfortunately  she's protecting the community center he's aiming to win a contract to tear down.,Shahid Kapoor,Kismat Konnection Comedy Drama Romance A luckless architect discovers a social activist to be his lucky charm. Unfortunately  she's protecting the community center he's aiming to win a contract to tear down. Shahid Kapoor
1013,Love Story 2050,2008,Action Adventure Drama,With the help of his uncle  a man travels to the future to try and bring his girlfriend back to life.,Harman Baweja,Love Story 2050 Action Adventure Drama With the help of his uncle  a man travels to the future to try and bring his girlfriend back to life. Harman Baweja
1014,Contract,2008,Action Crime Drama,After witnessing the brutal death of his family  an embittered ex-army officer agrees to infiltrate a gang of terrorists.,Adhvik Mahajan,Contract Action Crime Drama After witnessing the brutal death of his family  an embittered ex-army officer agrees to infiltrate a gang of terrorists. Adhvik Mahajan
1015,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,Action Adventure Drama,A news reporter must uncover the secret on the 13th floor of a News Station.,Vivek Oberoi,Mission Istaanbul: Darr Ke Aagey Jeet Hai! Action Adventure Drama A news reporter must uncover the secret on the 13th floor of a News Station. Vivek Oberoi
1016,Money Hai Toh Honey Hai,2008,Comedy Drama,Manikchand Khiralal is a struggling model who gets kicked out by his mentor  Dolly  when she finds another boyfriend; Lalabhai Bharodia has no business acumen  and has lost millions; Shruti...                    ,Govinda,Money Hai Toh Honey Hai Comedy Drama Manikchand Khiralal is a struggling model who gets kicked out by his mentor  Dolly  when she finds another boyfriend; Lalabhai Bharodia has no business acumen  and has lost millions; Shruti...                     Govinda
1017,God Tussi Great Ho,2008,Comedy Drama Fantasy,A TV anchor keeps on blaming God for his unsuccessful life. God appears and he is given the God's Power for 10 days just to see how he manages to keep everyone happy.,Amitabh Bachchan,God Tussi Great Ho Comedy Drama Fantasy A TV anchor keeps on blaming God for his unsuccessful life. God appears and he is given the God's Power for 10 days just to see how he manages to keep everyone happy. Amitabh Bachchan
1018,Mumbai Meri Jaan,2008,Drama,Five people whose lives are affected by the 2006 Mumbai train bombings.,Paresh Rawal,Mumbai Meri Jaan Drama Five people whose lives are affected by the 2006 Mumbai train bombings. Paresh Rawal
1019,Maan Gaye Mughall-E-Azam,2008,Comedy Crime Drama,Shortly before bomb-blasts rocked Bombay during 1993  India's Research and Analysis Wing assigns Arjun Rastogi to hilariously infiltrate a dance troupe 'Kalakar Theater Company' in St. ...                    ,Mallika Sherawat,Maan Gaye Mughall-E-Azam Comedy Crime Drama Shortly before bomb-blasts rocked Bombay during 1993  India's Research and Analysis Wing assigns Arjun Rastogi to hilariously infiltrate a dance troupe 'Kalakar Theater Company' in St. ...                     Mallika Sherawat
1020,Rock On!!,2008,Drama Music,Four friends reunite to relive their moments of glory as a rock band.,Arjun Rampal,Rock On!! Drama Music Four friends reunite to relive their moments of glory as a rock band. Arjun Rampal
