,original_title,year_of_release,genres,summary,actors,Movie_COL
87,Aiyaary,2018,Action Thriller,After finding out about an illegal arms deal  a military intelligence officer goes rogue with highly sensitive data related to his organization  causing his mentor: a colonel  to hunt him down.,Sidharth Malhotra,Aiyaary Action Thriller After finding out about an illegal arms deal  a military intelligence officer goes rogue with highly sensitive data related to his organization  causing his mentor: a colonel  to hunt him down. Sidharth Malhotra
88,Padmaavat,2018,Drama History Romance,Set in medieval Rajasthan  Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.,Deepika Padukone,Padmaavat Drama History Romance Set in medieval Rajasthan  Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar. Deepika Padukone
89,Kuchh Bheege Alfaaz,2018,Romance,In a world of pings  likes  tweets  shares and comments  2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts  safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another.,Geetanjali Thapa,Kuchh Bheege Alfaaz Romance In a world of pings  likes  tweets  shares and comments  2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts  safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another. Geetanjali Thapa
90,Jaane kyun de yaaron,2018,Drama,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,Akshay Anand,Jaane kyun de yaaron Drama Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian. Akshay Anand
91,Veerey Ki Wedding,2018,Comedy Romance,What happens when the most eligible bachelor in Delhi  Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                    ,Pulkit Samrat,Veerey Ki Wedding Comedy Romance What happens when the most eligible bachelor in Delhi  Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                     Pulkit Samrat
92,Sonu Ke Titu Ki Sweety,2018,Comedy Romance,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,Kartik Aaryan,Sonu Ke Titu Ki Sweety Comedy Romance Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance. Kartik Aaryan
93,Hate Story IV,2018,Crime Drama Thriller,London based Aryan and Rajveer are son of business tycoon Vikram Khurana.Aryan is handling the family business and is looking out for a new female face for his campaign.He is in love with ...                    ,Lee Byford,Hate Story IV Crime Drama Thriller London based Aryan and Rajveer are son of business tycoon Vikram Khurana.Aryan is handling the family business and is looking out for a new female face for his campaign.He is in love with ...                     Lee Byford
94,Dil Juunglee,2018,Comedy Romance,The movie is a romantic comedy that displays the ups and downs in Sumit and Karol's relationship.,Taapsee Pannu,Dil Juunglee Comedy Romance The movie is a romantic comedy that displays the ups and downs in Sumit and Karol's relationship. Taapsee Pannu
95,3 Storeys,2018,Drama,3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts  dark secrets and past regrets are revealed  and it becomes clear that life in this small community is ...                    ,Aisha Ahmed,3 Storeys Drama 3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts  dark secrets and past regrets are revealed  and it becomes clear that life in this small community is ...                     Aisha Ahmed
96,Raid,2018,Action Crime Drama,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Ajay Devgn,Raid Action Crime Drama A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence. Ajay Devgn
97,Hichki,2018,Comedy Drama,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.,Rani Mukerji,Hichki Comedy Drama Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength. Rani Mukerji
98,Missing,2018,Drama Mystery Thriller,Sushant Dubey checks in at a beach resort of Mauritius late night with his lovely wife Aparna and three-year-old daughter  Titli  who has high fever. As Aparna wakes up the next morning  ...                    ,Manoj Bajpayee,Missing Drama Mystery Thriller Sushant Dubey checks in at a beach resort of Mauritius late night with his lovely wife Aparna and three-year-old daughter  Titli  who has high fever. As Aparna wakes up the next morning  ...                     Manoj Bajpayee
99,Baaghi 2,2018,Action Thriller,A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa  India.,Tiger Shroff,Baaghi 2 Action Thriller A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa  India. Tiger Shroff
100,October,2018,Drama Romance,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,Varun Dhawan,October Drama Romance A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else? Varun Dhawan
101,Mercury,2018,Horror Thriller,Five friends maimed from mercury poisoning try to cover up for an accident that left a man dead.,Prabhu Deva,Mercury Horror Thriller Five friends maimed from mercury poisoning try to cover up for an accident that left a man dead. Prabhu Deva
102,Beyond the Clouds,2017,Drama Family,When on the run from the cops   Amir finds his estranged sister Tara  who in a bid to protect her brother lands up in jail. Their entire lives have been clouded by despair as unexpectedly the light shines on them from Beyond the Clouds.,Ishaan Khattar,Beyond the Clouds Drama Family When on the run from the cops   Amir finds his estranged sister Tara  who in a bid to protect her brother lands up in jail. Their entire lives have been clouded by despair as unexpectedly the light shines on them from Beyond the Clouds. Ishaan Khattar
103,Nanu Ki Jaanu,2018,Comedy Drama Horror,Nanu Ki Jaanu is a dark comedy  the story of which revolves around a Delhi land mafia agent (Abhay Deol) who tries to deal with the arrival of a ghost in his apartment.,Abhay Deol,Nanu Ki Jaanu Comedy Drama Horror Nanu Ki Jaanu is a dark comedy  the story of which revolves around a Delhi land mafia agent (Abhay Deol) who tries to deal with the arrival of a ghost in his apartment. Abhay Deol
104,Daas Dev,2018,Drama Thriller,Daas Dev is a 2018 romantic-thriller  with an interesting  modern take on the classic tale of DevDas-Paro-Chandramukhi love triangle  starring Rahul Bhat as Dev  the supremely talented Richa Chadda as Paro  and Aditi Rao Hydari as Chandni.,Yogesh Raj Mishra,Daas Dev Drama Thriller Daas Dev is a 2018 romantic-thriller  with an interesting  modern take on the classic tale of DevDas-Paro-Chandramukhi love triangle  starring Rahul Bhat as Dev  the supremely talented Richa Chadda as Paro  and Aditi Rao Hydari as Chandni. Yogesh Raj Mishra
105,Omerta,2017,Action Biography Crime,A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002.,Rajkummar Rao,Omerta Action Biography Crime A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh  who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002. Rajkummar Rao
106,Raazi,2018,Action Drama Thriller,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,Alia Bhatt,Raazi Action Drama Thriller A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971. Alia Bhatt
107,Hope Aur Hum,2018,Comedy Drama Family,A father obsessed with an old school copying machine wreaks havoc on the family  causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.,Naseeruddin Shah,Hope Aur Hum Comedy Drama Family A father obsessed with an old school copying machine wreaks havoc on the family  causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other. Naseeruddin Shah
108,High Jack,2018,Comedy,Rakesh  an out of luck DJ  has just found out that the gig he was to perform in Goa  has been canceled. He is in urgent requirement of money to save his Dad's clinic and in that desperation...                    ,Sumeet Vyas,High Jack Comedy Rakesh  an out of luck DJ  has just found out that the gig he was to perform in Goa  has been canceled. He is in urgent requirement of money to save his Dad's clinic and in that desperation...                     Sumeet Vyas
